iata,type,name,municipality,iso_country,latitude,longitude,scheduled,tz
GEE,small_airport,George Town Airport,George Town,AU,-41.0795,146.8391,no,Australia/Hobart
GEF,small_airport,Geva Airport,Liangia,SB,-7.5758,156.5970,no,Pacific/Guadalcanal
GEG,large_airport,Spokane International Airport,Spokane,US,47.6199,-117.5340,yes,America/Los_Angeles
GEL,medium_airport,Santo Ângelo Airport,Santo Ângelo,BR,-28.2825,-54.1696,yes,America/Sao_Paulo
GEM,medium_airport,President Obiang Nguema International Airport,Mengomeyén,GQ,1.6764,11.0249,yes,Africa/Malabo
GEO,large_airport,Cheddi Jagan International Airport,Georgetown,GY,6.4985,-58.2541,yes,America/Guyana
GER,medium_airport,Rafael Cabrera Airport,Nueva Gerona,CU,21.8347,-82.7838,yes,America/Havana
GES,large_airport,General Santos International Airport,General Santos,PH,6.0572,125.0962,yes,Asia/Manila
GET,medium_airport,Geraldton Airport,Moonyoonooka,AU,-28.7961,114.7070,yes,Australia/Perth
GEV,medium_airport,Gällivare Airport,Gällivare,SE,67.1324,20.8146,yes,Europe/Stockholm
GEW,small_airport,Gewoia Airport,Gewoia,PG,-9.2263,148.4949,no,Pacific/Port_Moresby
GEY,small_airport,South Big Horn County Airport,Greybull,US,44.5168,-108.0830,no,America/Denver
GFD,small_airport,Pope Field,Greenfield,US,39.7907,-85.7350,no,America/Indiana/Indianapolis
GFE,small_airport,Grenfell Airport,Grenfell,AU,-34.0000,148.1330,no,Australia/Sydney
GFF,medium_airport,Griffith Airport,Griffith,AU,-34.2508,146.0670,yes,Australia/Sydney
GFK,medium_airport,Grand Forks International Airport,Grand Forks,US,47.9493,-97.1761,yes,America/Chicago
GFL,medium_airport,Floyd Bennett Memorial Airport,Glens Falls,US,43.3412,-73.6103,no,America/New_York
GFN,medium_airport,Clarence Valley Regional Airport,Grafton,AU,-29.7548,153.0312,no,Australia/Sydney
GFO,small_airport,Bartica A Airport,Bartica,GY,6.3589,-58.6552,no,America/Guyana
GFR,medium_airport,Granville Airport,"Bréville-sur-Mer, Manche",FR,48.8831,-1.5642,no,Europe/Paris
GFY,medium_airport,Grootfontein Airport,Grootfontein,NA,-19.6022,18.1227,no,Africa/Windhoek
GGB,small_airport,Frederico Carlos Müller Airport,Água Boa,BR,-14.0200,-52.1520,no,America/Cuiaba
GGC,small_airport,Lumbala Airport,Lumbala N'guimbo,AO,-14.1051,21.4508,no,Africa/Luanda
GGD,small_airport,Gregory Downs Airport,,AU,-18.6250,139.2330,no,Australia/Brisbane
GGE,small_airport,Georgetown County Airport,Georgetown,US,33.3117,-79.3196,no,America/New_York
GGF,small_airport,Almeirim Airport,Almeirim,BR,-1.4795,-52.5782,yes,America/Santarem
GGG,medium_airport,East Texas Regional Airport,Longview,US,32.3840,-94.7115,yes,America/Chicago
GGH,small_airport,Engenheiro Gastão de Mesquita Filho Airport,Cianorte,BR,-23.6916,-52.6421,no,America/Sao_Paulo
GGJ,small_airport,Guaíra Airport,Guaíra,BR,-24.0811,-54.1917,yes,America/Sao_Paulo
GGM,small_airport,Kakamega Airport,Kakamega,KE,0.2714,34.7881,no,Africa/Nairobi
GGN,small_airport,Gagnoa Airport,Gagnoa,CI,6.1029,-5.9868,no,Africa/Abidjan
GGO,small_airport,Guiglo Airport,Guiglo,CI,6.5347,-7.5268,no,Africa/Abidjan
GGR,small_airport,Garowe Airport,Garowe,SO,8.4585,48.5681,yes,Africa/Mogadishu
GGS,small_airport,Gobernador Gregores Airport,Gobernador Gregores,AR,-48.7831,-70.1500,yes,America/Argentina/Rio_Gallegos
GGT,medium_airport,Exuma International Airport,Moss Town,BS,23.5626,-75.8780,yes,America/Nassau
GGW,medium_airport,Glasgow Valley County Airport Wokal Field,Glasgow,US,48.2125,-106.6150,yes,America/Denver
GHA,medium_airport,Noumérat - Moufdi Zakaria Airport,El Atteuf,DZ,32.3841,3.7941,yes,Africa/Algiers
GHB,medium_airport,Governor's Harbour Airport,Governor's Harbour,BS,25.2847,-76.3310,yes,America/Nassau
GHC,medium_airport,Great Harbour Cay Airport,Bullocks Harbour,BS,25.7383,-77.8401,no,America/Nassau
GHE,small_airport,Garachiné Airport,Garachiné,PA,8.0644,-78.3673,no,America/Panama
GHF,small_airport,Giebelstadt Airport,Giebelstadt,DE,49.6481,9.9664,no,Europe/Berlin
GHK,small_airport,Gahcho Kue,Kennedy Lake,CA,63.4352,-109.1448,no,America/Edmonton
GHM,small_airport,Centerville Municipal Airport,Centerville,US,35.8374,-87.4454,no,America/Chicago
GHN,medium_airport,Guanghan Airport,Deyang (Guanghan),CN,30.9485,104.3296,no,Asia/Shanghai
GHS,small_airport,Melalan Airport,Melak-Borneo Island,ID,-0.2036,115.7600,no,Asia/Makassar
GHT,medium_airport,Ghat Airport,Ghat,LY,25.1456,10.1426,yes,Africa/Tripoli
GHU,medium_airport,Gualeguaychu Airport,Gualeguaychu,AR,-33.0056,-58.6128,no,America/Argentina/Cordoba
GHV,large_airport,Brașov-Ghimbav International Airport,Brașov (Ghimbav),RO,45.7056,25.5229,yes,Europe/Bucharest
GIB,large_airport,Gibraltar Airport,Gibraltar,GI,36.1517,-5.3498,yes,Europe/Gibraltar
GIC,small_airport,Boigu Island Airport,Boigu Island,AU,-9.2328,142.2180,yes,Australia/Brisbane
GID,medium_airport,Gitega Airport,Gitega,BI,-3.4172,29.9113,yes,Africa/Bujumbura
GIF,small_airport,Winter Haven Regional Airport - Gilbert Field,Winter Haven,US,28.0629,-81.7533,no,America/New_York
GIG,large_airport,Rio Galeão – Tom Jobim International Airport,Rio De Janeiro,BR,-22.8100,-43.2506,yes,America/Sao_Paulo
GII,small_airport,Siguiri Airport,Siguiri,GN,11.3998,-9.1884,no,Africa/Conakry
GIL,medium_airport,Gilgit Airport,Gilgit,PK,35.9188,74.3336,yes,Asia/Karachi
GIM,small_airport,Miele Mimbale Airport,Miele Mimbale,GA,-0.0289,11.4180,no,Africa/Libreville
GIR,medium_airport,Santiago Vila Airport,Girardot,CO,4.2762,-74.7967,no,America/Bogota
GIS,medium_airport,Gisborne Airport,Gisborne,NZ,-38.6633,177.9780,yes,Pacific/Auckland
GIT,small_airport,Mchauru Airport,Geita,TZ,-2.8137,32.1725,no,Africa/Dar_es_Salaam
GIU,small_airport,Sigiriya Air Force Base,Sigiriya,LK,7.9567,80.7285,no,Asia/Colombo
GIY,small_airport,Giyani Airport,Giyani,ZA,-23.2833,30.6500,no,Africa/Johannesburg
GIZ,medium_airport,Jizan Regional Airport / King Abdullah bin Abdulaziz Airport,Jizan,SA,16.9011,42.5858,yes,Asia/Riyadh
GJA,medium_airport,La Laguna Airport,Guanaja,HN,16.4454,-85.9066,yes,America/Tegucigalpa
GJL,large_airport,Jijel Ferhat Abbas Airport,Tahir,DZ,36.7941,5.8737,yes,Africa/Algiers
GJM,medium_airport,Guajará-Mirim Airport,Guajará-Mirim,BR,-10.7864,-65.2849,no,America/Porto_Velho
GJR,small_airport,Gjögur Airport,Gjögur,IS,65.9953,-21.3269,no,Atlantic/Reykjavik
GJT,medium_airport,Grand Junction Regional Airport,Grand Junction,US,39.1267,-108.5294,yes,America/Denver
GKA,medium_airport,Goroka Airport,Goronka,PG,-6.0817,145.3920,yes,Pacific/Port_Moresby
GKD,small_airport,Gökçeada Airport,Gökçeada,TR,40.2045,25.8833,no,Europe/Istanbul
GKE,medium_airport,Geilenkirchen Air Base,Geilenkirchen,DE,50.9608,6.0424,no,Europe/Berlin
GKH,small_airport,Palungtar Airport,Gorkha,NP,28.0385,84.4664,no,Asia/Kathmandu
GKK,small_airport,Kooddoo Airport,Huvadhu Atoll,MV,0.7324,73.4336,yes,Indian/Maldives
GKL,small_airport,Great Keppel Is Airport,Great Keppel Island,AU,-23.1846,150.9416,no,Australia/Brisbane
GKN,medium_airport,Gulkana Airport,Gulkana,US,62.1559,-145.4547,yes,America/Anchorage
GKT,small_airport,Gatlinburg-Pigeon Forge Airport,Sevierville,US,35.8578,-83.5287,no,America/New_York
GLA,large_airport,Glasgow Airport,Glasgow,GB,55.8719,-4.4331,yes,Europe/London
GLB,small_airport,San Carlos Apache Airport,Globe,US,33.3531,-110.6670,no,America/Phoenix
GLC,small_airport,Geladi Airport,Geladi,ET,6.9844,46.4214,no,Africa/Addis_Ababa
GLD,medium_airport,Goodland Municipal Airport,Goodland,US,39.3707,-101.6998,no,America/Denver
GLE,small_airport,Gainesville Municipal Airport,Gainesville,US,33.6514,-97.1970,no,America/Chicago
GLF,medium_airport,Golfito Airport,Golfito,CR,8.6540,-83.1822,yes,America/Costa_Rica
GLG,small_airport,Glengyle Airport,,AU,-24.8083,139.6000,no,Australia/Brisbane
GLH,medium_airport,Mid Delta Regional Airport,Greenville,US,33.4829,-90.9856,yes,America/Chicago
GLI,medium_airport,Glen Innes Airport,Glen Innes,AU,-29.6760,151.6912,no,Australia/Sydney
GLK,small_airport,Galcaio Airport,Galcaio,SO,6.7808,47.4547,yes,Africa/Mogadishu
GLL,small_airport,Gol Airport,Klanten flyplass,NO,60.7911,9.0487,no,Europe/Oslo
GLM,small_airport,Glenormiston Airport,,AU,-22.8883,138.8250,no,Australia/Brisbane
GLN,small_airport,Guelmim Airport,Guelmim,MA,29.0267,-10.0503,no,Africa/Casablanca
GLO,medium_airport,Gloucestershire Airport,"Staverton, Gloucestershire",GB,51.8942,-2.1672,no,Europe/London
GLP,small_airport,Gulgubip Airport,Gulgubip,PG,-5.2808,141.5411,no,Pacific/Port_Moresby
GLR,small_airport,Gaylord Regional Airport,Gaylord,US,45.0135,-84.7036,no,America/Detroit
GLS,medium_airport,Scholes International At Galveston Airport,Galveston,US,29.2653,-94.8604,no,America/Chicago
GLT,medium_airport,Gladstone Airport,Gladstone,AU,-23.8698,151.2254,yes,Australia/Brisbane
GLU,medium_airport,Gelephu Airport,Gelephu,BT,26.8846,90.4641,no,Asia/Thimphu
GLV,small_airport,Golovin Airport,Golovin,US,64.5505,-163.0070,yes,America/Nome
GLW,small_airport,Glasgow Municipal Airport,Glasgow,US,37.0318,-85.9537,no,America/Chicago
GLX,small_airport,Gamarmalamo Airport,Galela,ID,1.8381,127.7862,no,Asia/Jayapura
GLZ,medium_airport,Gilze Rijen Air Base,Rijen,NL,51.5674,4.9318,no,Europe/Amsterdam
GMA,medium_airport,Gemena Airport,Gemena,CD,3.2354,19.7713,yes,Africa/Kinshasa
GMB,medium_airport,Gambela Airport,Gambela,ET,8.1288,34.5631,yes,Africa/Addis_Ababa
GMC,small_airport,Guerima Airport,Puerto Carreño,CO,3.6300,-70.3230,no,America/Bogota
GMD,small_airport,Ben Slimane Airport,Ben Slimane,MA,33.6554,-7.2214,no,Africa/Casablanca
GME,medium_airport,Gomel Airport,Gomel,BY,52.5270,31.0167,yes,Europe/Minsk
GMI,small_airport,Gasmata Island Airport,Gasmata Island,PG,-6.2711,150.3310,yes,Pacific/Port_Moresby
GMM,small_airport,Gamboma Airport,Gamboma,CG,-1.8294,15.8852,no,Africa/Brazzaville
GMN,small_airport,Greymouth Airport,,NZ,-42.4617,171.1900,no,Pacific/Auckland
GMO,medium_airport,Gombe Lawanti International Airport,Gombe,NG,10.2989,10.9000,yes,Africa/Lagos
GMP,large_airport,Seoul Gimpo International Airport,Seoul,KR,37.5583,126.7910,yes,Asia/Seoul
GMQ,medium_airport,Golog Maqên Airport,Golog (Maqên),CN,34.4181,100.3011,yes,Asia/Shanghai
GMR,medium_airport,Totegegie Airport,,PF,-23.0799,-134.8900,yes,Pacific/Gambier
GMS,small_airport,Antônio Guerreiro Airport,Guimarães,BR,-2.1094,-44.6511,no,America/Fortaleza
GMT,small_airport,Granite Mountain Air Station,Granite Mountain,US,65.4021,-161.2810,no,America/Anchorage
GMU,medium_airport,Greenville Downtown Airport,Greenville,US,34.8479,-82.3502,no,America/New_York
GMV,small_airport,Monument Valley Airport,Oljato-Monument Valley,US,37.0159,-110.2020,no,America/Denver
GMZ,small_airport,La Gomera Airport,"Alajero, La Gomera Island",ES,28.0296,-17.2146,yes,Atlantic/Canary
GNA,medium_airport,Hrodna Airport,Hrodna,BY,53.6020,24.0538,no,Europe/Minsk
GNB,medium_airport,Grenoble Alpes Isère Airport,Grenoble,FR,45.3629,5.3294,yes,Europe/Paris
GND,large_airport,Maurice Bishop International Airport,Saint George's,GD,12.0040,-61.7853,yes,America/Grenada
GNF,small_airport,Gansner Field,Quincy,US,39.9439,-120.9450,no,America/Los_Angeles
GNG,small_airport,Gooding Municipal Airport,Gooding,US,42.9172,-114.7650,no,America/Boise
GNI,small_airport,Lüdao Airport,Lüdao,TW,22.6739,121.4660,no,Asia/Taipei
GNJ,large_airport,Ganja International Airport,Ganja,AZ,40.7387,46.3204,yes,Asia/Baku
GNM,small_airport,Guanambi Airport,Guanambi,BR,-14.2082,-42.7461,no,America/Bahia
GNN,small_airport,Ghinnir Airport,Ghinnir,ET,7.1500,40.7170,no,Africa/Addis_Ababa
GNR,small_airport,Dr. Arturo H. Illia Airport,General Roca,AR,-39.0007,-67.6205,no,America/Argentina/Salta
GNS,medium_airport,Binaka Airport,Gunungsitoli,ID,1.1663,97.7052,yes,Asia/Jakarta
GNT,small_airport,Grants-Milan Municipal Airport,Grants,US,35.1673,-107.9020,no,America/Denver
GNU,small_airport,Goodnews Airport,Goodnews,US,59.1176,-161.5752,yes,America/Anchorage
GNV,medium_airport,Gainesville Regional Airport,Gainesville,US,29.6901,-82.2718,yes,America/New_York
GNY,large_airport,Şanlıurfa GAP Airport,Şanlıurfa,TR,37.4457,38.8956,yes,Europe/Istanbul
GNZ,small_airport,Ghanzi Airport,Ghanzi,BW,-21.6925,21.6581,no,Africa/Gaborone
GOA,large_airport,Genoa Cristoforo Colombo Airport,Genova (GE),IT,44.4120,8.8407,yes,Europe/Rome
GOB,small_airport,Robe Airport,Goba,ET,7.1190,40.0452,no,Africa/Addis_Ababa
GOC,small_airport,Gora Airstrip,Gora,PG,-9.0021,148.2364,no,Pacific/Port_Moresby
GOE,small_airport,Gonaili Airport,Gonaili,PG,-5.5277,151.5733,no,Pacific/Port_Moresby
GOG,small_airport,Gobabis Airport,Gobabis,NA,-22.5044,18.9731,no,Africa/Windhoek
GOH,large_airport,Nuuk International Airport,Nuuk,GL,64.1911,-51.6791,yes,America/Nuuk
GOI,large_airport,Goa Dabolim International Airport,Vasco da Gama,IN,15.3801,73.8333,yes,Asia/Kolkata
GOJ,large_airport,Nizhny Novgorod / Strigino International Airport,Nizhny Novgorod,RU,56.2274,43.7852,yes,Europe/Moscow
GOK,small_airport,Guthrie-Edmond Regional Airport,Guthrie,US,35.8498,-97.4156,no,America/Chicago
GOL,small_airport,Gold Beach Municipal Airport,Gold Beach,US,42.4134,-124.4240,no,America/Los_Angeles
GOM,large_airport,Goma International Airport,Goma,CD,-1.6668,29.2380,yes,Africa/Lubumbashi
GON,medium_airport,Groton New London Airport,Groton,US,41.3301,-72.0451,no,America/New_York
GOO,small_airport,Goondiwindi Airport,,AU,-28.5214,150.3200,no,Australia/Brisbane
GOP,medium_airport,Gorakhpur Airport,Gorakhpur,IN,26.7397,83.4497,yes,Asia/Kolkata
GOQ,medium_airport,Golmud Airport,Golmud,CN,36.4006,94.7861,yes,Asia/Shanghai
GOR,small_airport,Gore Airport,Gore,ET,8.1614,35.5529,no,Africa/Addis_Ababa
GOS,small_airport,Somersby Airstrip,Gosford,AU,-33.3677,151.2998,no,Australia/Sydney
GOT,large_airport,Göteborg Landvetter Airport,Göteborg,SE,57.6628,12.2798,yes,Europe/Stockholm
GOU,large_airport,Garoua International Airport,Garoua,CM,9.3348,13.3721,yes,Africa/Douala
GOV,medium_airport,Gove Airport,Nhulunbuy,AU,-12.2694,136.8180,yes,Australia/Darwin
GOX,large_airport,Manohar International Airport,Mopa,IN,15.7443,73.8606,yes,Asia/Kolkata
